,YEAR,CATEGORY,HEI,COURSE TITLE,COURSE CODE,R1 POINTS,R2 POINTS,MID SEASON POINTS,FINAL SEASON POINTS,R1 Random *,R2 Random*,FINAL SEASON POINTS RANDOM*,Test/Interview #
693,2020,Biological and related sciences,"National University of Ireland, Galway",Genetics and Genomics,GY321,508,,532,508,,,,
694,2020,Information and Communication Technologies (ICTs),"National University of Ireland, Galway",Computer Science and Information Technology,GY350,403,,454,403,,,,
695,2020,Engineering and engineering trades,"National University of Ireland, Galway",Engineering (Undenominated),GY401,465,,511,465,,,,
696,2020,Architecture and construction,"National University of Ireland, Galway",Civil Engineering,GY402,455,,499,455,,,,
697,2020,Engineering and engineering trades,"National University of Ireland, Galway",Mechanical Engineering,GY405,454,,509,454,,,,
698,2020,Engineering and engineering trades,"National University of Ireland, Galway",Electronic and Computer Engineering,GY406,510,,544,510,,,,
699,2020,Engineering and engineering trades,"National University of Ireland, Galway",Biomedical Engineering,GY408,509,,554,509,,,,
700,2020,Architecture and construction,"National University of Ireland, Galway",Project and Construction Management,GY410,403,,456,403,,,,
701,2020,Engineering and engineering trades,"National University of Ireland, Galway",Energy Systems Engineering,GY413,502,,531,502,,,,
702,2020,Engineering and engineering trades,"National University of Ireland, Galway",Electrical and Electronic Engineering,GY414,405,,429,405,,,,
703,2020,Health,"National University of Ireland, Galway","Medicine (five year/six year course, HPAT required)",GY501,728,,731,728,*,,,#
704,2020,Health,"National University of Ireland, Galway",Occupational Therapy,GY502,555,,567,555,,,,
705,2020,Health,"National University of Ireland, Galway",Speech and Language Therapy,GY503,543,,554,543,,,,
706,2020,Health,"National University of Ireland, Galway",Podiatric Medicine,GY504,443,,476,443,,,,
707,2020,Health,"National University of Ireland, Galway",General Nursing (Galway and Portiuncula),GY515,476,473,496,473,,,,
708,2020,Health,"National University of Ireland, Galway",Mental Health Nursing,GY516,440,,467,440,,,,
709,2020,Health,"National University of Ireland, Galway",Midwifery,GY517,495,,518,495,,,,
710,2020,Business and administration,ICD Business School,Accounting and Finance,ID001,203,,253,203,,,,
711,2020,Business and administration,ICD Business School,Business Studies,ID002,294,,309,294,,,,
712,2020,Arts,Limerick Institute of Technology,"Art and Design (Common Entry, portfolio)",LC110,740,,961,740,,,,#
713,2020,Arts,Limerick Institute of Technology,Fashion and Textiles for Product and Costume (portfolio),LC114,880,,1029,880,,,,#
714,2020,Education,Limerick Institute of Technology,Art and Design Teacher Education (portfolio),LC115,942,,1013,942,,,,#
715,2020,Business and administration,Limerick Institute of Technology,Digital Marketing,LC220,262,,298,262,,,,
718,2020,Law,Limerick Institute of Technology,Law and Taxation,LC223,307,,356,307,,,,
719,2020,Business and administration,Limerick Institute of Technology,Accounting and Finance,LC224,300,,371,300,,,,
720,2020,Business and administration,Limerick Institute of Technology,Marketing and Management,LC225,298,,358,298,,,,
721,2020,Business and administration,Limerick Institute of Technology,Enterprise and Innovation,LC226,234,234,310,234,,,,
724,2020,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Software Development,LC233,272,,339,272,,,,
725,2020,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Interactive Digital Media,LC234,225,,307,225,,,,
727,2020,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Internet Systems Development,LC236,262,260,272,260,,,,
728,2020,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Computer Networks and Systems Management,LC239,307,,371,309,,,,
729,2020,Architecture and construction,Limerick Institute of Technology,Construction Management,LC241,255,,338,255,,,,
730,2020,Architecture and construction,Limerick Institute of Technology,Property Valuation and Management,LC242,282,,320,282,,,,
731,2020,Architecture and construction,Limerick Institute of Technology,Quantity Surveying,LC243,294,,362,298,,,,
732,2020,Architecture and construction,Limerick Institute of Technology,Built Environment (Common Entry),LC248,288,,376,288,,,,
734,2020,Architecture and construction,Limerick Institute of Technology,Civil Engineering Management,LC252,270,,308,270,,,,
737,2020,Health,Limerick Institute of Technology,Clinical Technology,LC263,294,,359,294,,,,
738,2020,Physical sciences,Limerick Institute of Technology,Forensic and Pharmaceutical Sciences,LC265,413,,476,413,,,,
739,2020,Environment,Limerick Institute of Technology,Drug and Medicinal Product Analysis,LC266,262,,300,262,,,,
744,2020,Engineering and engineering trades,Limerick Institute of Technology,Electrical Engineering,LC275,298,,384,298,,,,
754,2020,Engineering and engineering trades,Limerick Institute of Technology,Mechanical Engineering,LC288,347,346,415,346,,,,
755,2020,Engineering and engineering trades,Limerick Institute of Technology,Precision Engineering,LC289,291,,350,291,,,,
757,2020,Welfare,Limerick Institute of Technology,Social Care Work,LC292,367,,389,367,,,,
758,2020,Personal services,Limerick Institute of Technology,Business Studies with Travel and Tourism Management,LC293,307,,356,307,,,,
759,2020,Personal services,Limerick Institute of Technology,Business Studies with Event Management,LC294,279,,347,279,,,,
760,2020,Business and administration,Limerick Institute of Technology,Business Studies with Sports Management,LC295,252,,313,252,,,,
761,2020,Social and behavioural sciences,Limerick Institute of Technology,Community Development,LC297,235,,298,235,,,,
762,2020,Business and administration,Limerick Institute of Technology,Business,LC320,346,,388,346,,,,
763,2020,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Business with Computing,LC330,297,,378,297,,,,
765,2020,Arts,Limerick Institute of Technology,Interior Design,LC340,350,,391,350,,,,
766,2020,Biological and related sciences,Limerick Institute of Technology,Biotechnology and Biopharmaceutical Sciences,LC362,413,,440,413,,,,
767,2020,Arts,Limerick Institute of Technology,Creative Broadcast and Film Production,LC371,309,,378,309,,,,
768,2020,Arts,Limerick Institute of Technology,Music Technology and Production,LC372,325,,402,325,,,,
769,2020,Engineering and engineering trades,Limerick Institute of Technology,Renewable and Electrical Energy Engineering,LC374,318,,410,318,,,,
770,2020,Engineering and engineering trades,Limerick Institute of Technology,Industrial Automation and Robotic Systems,LC375,317,,392,317,,,,
771,2020,Engineering and engineering trades,Limerick Institute of Technology,Electronic Engineering,LC376,318,,358,318,,,,
772,2020,Transport services,Limerick Institute of Technology,Automotive Engineering and Transport Management,LC380,303,298,337,298,,,,
773,2020,Personal services,Limerick Institute of Technology,Business Studies in Beauty and Spa Management,LC392,236,,328,236,,,,
774,2020,Welfare,Limerick Institute of Technology,Early Childhood Education and Care,LC393,236,,307,236,,,,
777,2020,Welfare,Limerick Institute of Technology,Early Childhood Education and Care,LC401,297,,298,297,,,,
778,2020,Welfare,Limerick Institute of Technology,Social Care Work,LC402,225,,288,225,,,,
779,2020,Environment,Limerick Institute of Technology,Environmental Science and Climate,LC408,279,,348,279,,,,
780,2020,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Data Analytics and Cyber Security,LC414,236,,336,236,,,,
782,2020,Business and administration,Limerick Institute of Technology,Business,LC416,274,,391,274,,,,
783,2020,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Computing - Games Design and Development,LC418,270,,338,270,,,,
784,2020,Personal services,Limerick Institute of Technology,Sports Strength and Conditioning,LC422,298,,347,298,,,,
789,2020,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Limerick Institute of Technology,Environmental Science and Agriculture,LC434,297,,349,297,,,,
790,2020,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Game Art and Design (portfolio),LC502,852,,1024,852,,,,#
792,2020,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Creative Media and Design,LC517,234,,327,234,,,,
793,2020,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Digital Animation Production (portfolio),LC518,808,,939,808,,,,#
797,2020,Welfare,Limerick Institute of Technology,Social Care Work,LC612,320,,343,320,,,,
798,2020,Welfare,Limerick Institute of Technology,Early Childhood Education and Care,LC613,242,,327,242,,,,
799,2020,Humanities (except languages),University of Limerick,Arts,LM002,348,,410,348,,,,
800,2020,Law,University of Limerick,Law and Accounting,LM020,465,,499,465,,,,
801,2020,Arts,University of Limerick,Performing Arts (audition required),LM026,303,,401,303,,,,#
802,2020,Law,University of Limerick,Criminal Justice,LM028,418,,440,418,,,,
803,2020,Law,University of Limerick,Law Plus,LM029,490,,521,490,,,,
804,2020,Social and behavioural sciences,University of Limerick,Psychology and Sociology,LM038,500,,507,500,,,,
805,2020,Journalism and information,University of Limerick,Journalism and Digital Communication,LM039,402,,455,402,,,,
806,2020,Humanities (except languages),University of Limerick,European Studies,LM040,369,,488,369,,,,
807,2020,Languages,University of Limerick,Applied Languages,LM044,442,,499,442,,,,
808,2020,Business and administration,University of Limerick,Business Studies (options),LM050,431,,476,431,,,,
809,2020,Business and administration,University of Limerick,International Business,LM056,528,,555,528,,,,
810,2020,Mathematics and statistics,University of Limerick,Financial Mathematics,LM058,403,,521,403,,,,
811,2020,Information and Communication Technologies (ICTs),University of Limerick,Technology Management,LM063,379,,419,379,,,,
812,2020,Manufacturing and processing,University of Limerick,Food Science and Health,LM068,421,,454,421,,,,
813,2020,Manufacturing and processing,University of Limerick,Product Design and Technology (portfolio required),LM076,408,,487,408,,,,#
814,2020,Engineering and engineering trades,University of Limerick,Aeronautical Engineering,LM077,520,,554,520,,,,
815,2020,Manufacturing and processing,University of Limerick,Construction Management and Engineering,LM082,398,,434,398,,,,
816,2020,Personal services,University of Limerick,Sport and Exercise Sciences,LM089,474,,489,474,,,,
817,2020,Education,University of Limerick,Physical Education with concurrent Teacher Education,LM090,532,,565,532,*,,*,
818,2020,Education,University of Limerick,Languages with concurrent Teacher Education,LM091,517,,543,517,,,,
819,2020,Education,University of Limerick,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM092,507,,531,507,,,,
820,2020,Biological and related sciences,University of Limerick,Equine Science,LM093,339,,412,339,,,,
821,2020,Education,University of Limerick,Materials and Architectural Technology with concurrent Teacher Education,LM094,440,,478,440,,,,
822,2020,Education,University of Limerick,Materials and Engineering Technology with concurrent Teacher Education,LM095,367,,421,367,,,,
823,2020,Education,University of Limerick,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM096,405,,454,405,,,,
824,2020,Mathematics and statistics,University of Limerick,Mathematics and Computer Science with concurrent Teacher Education,LM097,402,,509,402,,,,
825,2020,Architecture and construction,University of Limerick,Architecture (portfolio requirement suspended),LM099,498,,532,498,,,,#
826,2020,Health,University of Limerick,Physiotherapy,LM100,589,,601,589,*,,*,
827,2020,Health,University of Limerick,Medicine  - Graduate Entry (GAMSAT required),LM101,55,,57,55,*,,*,#
828,2020,Social and behavioural sciences,University of Limerick,Psychology,LM102,509,,529,509,,,,
829,2020,Health,University of Limerick,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),LM103,392,,445,392,,,,#
830,2020,Physical sciences,University of Limerick,Chemical and Biochemical Engineering,LM115,454,,532,454,,,,
831,2020,Engineering and engineering trades,University of Limerick,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM116,476,,521,476,*,,*,
832,2020,Engineering and engineering trades,University of Limerick,Electronic and Computer Engineering,LM118,403,,489,403,,,,
833,2020,Information and Communication Technologies (ICTs),University of Limerick,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM121,351,,423,351,,,,
834,2020,Information and Communication Technologies (ICTs),University of Limerick,Creative Media and Interaction Design (Digital Design/Music Media Tech),LM122,327,,401,327,,,,
835,2020,Biological and related sciences,University of Limerick,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),LM123,441,,478,441,*,,*,
836,2020,Mathematics and statistics,University of Limerick,Mathematics (Math Science/Maths and Physics/Economics and Maths),LM124,437,,509,437,,,,
837,2020,Physical sciences,University of Limerick,Physics (Applied Physics or Mathematics & Physics),LM125,404,,520,404,,,,
838,2020,Health,University of Limerick,General Nursing,LM150,475,,498,475,*,,*,
839,2020,Health,University of Limerick,Mental Health Nursing,LM152,419,,430,419,*,,*,
840,2020,Health,University of Limerick,Intellectual Disability Nursing,LM154,420,,473,440,,,,
841,2020,Health,University of Limerick,Midwifery,LM156,469,,499,469,,,,
844,2020,Business and administration,Letterkenny Institute of Technology,Business - Accounting,LY108,309,,431,309,,,,
845,2020,Business and administration,Letterkenny Institute of Technology,Business,LY118,290,,377,290,,,,
848,2020,Law,Letterkenny Institute of Technology,Law,LY208,300,,367,300,,,,
849,2020,Personal services,Letterkenny Institute of Technology,Sports and Exercise - Common Entry,LY228,300,,367,300,,,,
852,2020,Arts,Letterkenny Institute of Technology,Design - Common Entry,LY408,320,,381,320,,,,#
858,2020,Architecture and construction,Letterkenny Institute of Technology,Fire Safety Engineering,LY508,276,,326,276,,,,
859,2020,Architecture and construction,Letterkenny Institute of Technology,Quantity Surveying,LY518,301,,368,301,,,,
861,2020,Architecture and construction,Letterkenny Institute of Technology,Construction Management,LY528,271,,321,271,,,,
863,2020,Engineering and engineering trades,Letterkenny Institute of Technology,Mechanical Engineering,LY608,300,,379,300,,,,
865,2020,Engineering and engineering trades,Letterkenny Institute of Technology,Electronic Engineering,LY618,312,,402,312,,,,
867,2020,Information and Communication Technologies (ICTs),Letterkenny Institute of Technology,Applied Computing,LY708,306,,372,306,,,,
870,2020,Information and Communication Technologies (ICTs),Letterkenny Institute of Technology,Computer Science,LY748,317,317,420,317,,,,
874,2020,Biological and related sciences,Letterkenny Institute of Technology,Science - Common Entry,LY818,303,,409,303,,,,
876,2020,Agriculture,Letterkenny Institute of Technology,Agriculture - Common Entry,LY828,307,,351,307,,,,
884,2020,Health,Letterkenny Institute of Technology,General Nursing,LY908,400,,423,400,*,,*,
886,2020,Health,Letterkenny Institute of Technology,Psychiatric Nursing,LY918,357,,387,357,*,,,
887,2020,Health,Letterkenny Institute of Technology,Intellectual Disability Nursing,LY928,326,,346,328,*,,,
888,2020,Welfare,Letterkenny Institute of Technology,"Early Childhood Care, Health and Education",LY968,303,,361,303,,,,
889,2020,Health,Letterkenny Institute of Technology,Health & Social Care - Common Entry,LY978,280,,330,280,,,,
890,2020,Education,Maynooth University,Education - Primary Teaching (Froebel),MH001,507,,531,507,,,,
891,2020,Education,Maynooth University,Education - Primary Teaching - Gaeltacht Applicants (Froebel),MH002,,,,,,,,#
892,2020,Humanities (except languages),Maynooth University,Arts,MH101,318,,388,318,,,,
893,2020,Arts,Maynooth University,Music,MH103,#,,#,#,,,,#
894,2020,Social and behavioural sciences,Maynooth University,Psychology - 3 years,MH106,521,,529,521,,,,
895,2020,Social and behavioural sciences,Maynooth University,Social Science,MH107,346,,388,346,,,,
896,2020,Arts,Maynooth University,Media Studies,MH109,316,,377,316,,,,
897,2020,Welfare,Maynooth University,Community and Youth Work (Full-Time),MH116,#,,#,#,,,,#
898,2020,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Maynooth University,Science,MH201,360,,418,360,,,,
899,2020,Biological and related sciences,Maynooth University,Biotechnology,MH202,455,,466,455,,,,
900,2020,Biological and related sciences,Maynooth University,Biological and Geographical Sciences,MH203,430,,465,430,,,,
901,2020,Physical sciences,Maynooth University,Physics with Astrophysics,MH204,422,,479,422,,,,
902,2020,Mathematics and statistics,Maynooth University,Theoretical Physics and Mathematics,MH206,510,,533,510,,,,
903,2020,Information and Communication Technologies (ICTs),Maynooth University,Data Science,MH207,445,,520,445,,,,
904,2020,Biological and related sciences,Maynooth University,Biological and Biomedical Sciences,MH208,498,,510,498,,,,
905,2020,Social and behavioural sciences,Maynooth University,Psychology (through Science) - 4 years,MH209,498,,510,498,,,,
906,2020,Physical sciences,Maynooth University,Pharmaceutical and Biomedical Chemistry,MH210,487,,520,487,,,,
907,2020,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Maynooth University,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),MH212,422,,487,422,,,,
908,2020,Engineering and engineering trades,Maynooth University,Engineering (Computer/Electronic/Communications),MH304,333,333,444,333,,,,
909,2020,Engineering and engineering trades,Maynooth University,Product Design,MH305,357,,409,357,,,,
910,2020,Engineering and engineering trades,Maynooth University,Robotics and Intelligent Devices,MH306,361,,433,361,,,,
911,2020,Business and administration,Maynooth University,Finance (options),MH401,357,,398,357,,,,
912,2020,Business and administration,Maynooth University,Quantitative Finance,MH402,476,,509,476,,,,
913,2020,Business and administration,Maynooth University,Accounting and Finance,MH403,422,,468,422,,,,
914,2020,Business and administration,Maynooth University,Business (options),MH404,430,,454,430,,,,
915,2020,Business and administration,Maynooth University,Equine Business,MH405,357,,408,357,,,,
916,2020,Business and administration,Maynooth University,Business and Accounting,MH407,420,,462,420,,,,
917,2020,Business and administration,Maynooth University,Entrepreneurship,MH411,371,,408,371,,,,
918,2020,Law,Maynooth University,LLB Law - four year Single Major Law programme,MH501,473,,495,473,,,,
919,2020,Law,Maynooth University,Law (options),MH502,451,,473,451,,,,
920,2020,Information and Communication Technologies (ICTs),Maynooth University,Computer Science through Arts (options),MH601,352,,403,352,,,,
921,2020,Information and Communication Technologies (ICTs),Maynooth University,Computer Science through Science (options),MH602,351,,409,351,,,,
922,2020,Information and Communication Technologies (ICTs),Maynooth University,Computational Thinking,MH603,532,,544,532,,,,
923,2020,Education,Maynooth University,Early Childhood - Teaching and Learning (part-time),MH801,327,,378,327,,,,
924,2020,Welfare,Maynooth University,"Community and Youth Work (part-time, in service)",MH802,#,#,,#,,,,#
925,2020,Social and behavioural sciences,Maynooth University,"Local Studies/Community Studies (part-time, evening) - Mature Students",MH803,#,#,,#,,,,#
926,2020,Arts,Mary Immaculate College,Contemporary & Applied Theatre Studies,MI001,375,,412,390,,,,
927,2020,Arts,Mary Immaculate College,Arts,MI002,300,281,389,281,,,,
928,2020,Education,Mary Immaculate College,Education - Primary Teaching - International,MI004,577,,589,577,,,,
929,2020,Education,Mary Immaculate College,Education - Primary Teaching,MI005,495,,521,495,,,,
930,2020,Education,Mary Immaculate College,Education - Primary Teaching - Gaeltacht Applicants,MI006,456,,519,462,,,,#
931,2020,Education,Mary Immaculate College,Early Childhood Care and Education,MI007,357,,409,357,,,,
932,2020,Education,Mary Immaculate College,Education and Psychology - Primary Teaching,MI008,588,,601,588,,,,
933,2020,Education,Mary Immaculate College,"Education, Business Studies and Accounting",MI009,402,,455,402,,,,
934,2020,Education,Mary Immaculate College,"Education, Business Studies and Religious Studies",MI010,368,,389,368,,,,
935,2020,Education,Mary Immaculate College,"Education, Gaeilge and Religious Studies",MI011,409,,451,409,,,,
936,2020,Education,Mary Immaculate College,"Education, Gaeilge and Business Studies",MI012,401,,463,401,,,,
937,2020,Education,Mary Immaculate College,"Education, Mathematics and Gaeilge",MI013,444,,477,444,,,,
938,2020,Education,Mary Immaculate College,"Education, Mathematics and Business Studies",MI014,434,,487,434,,,,
939,2020,Interdisciplinary programmes and qualifications involving arts and humanities,"Pontifical University, St Patrick's College",Theology and Arts,MU001,290,290,349,290,,,,
940,2020,Interdisciplinary programmes and qualifications involving arts and humanities,"Pontifical University, St Patrick's College",Theology,MU002,440,,440,440,,,,
941,2020,Information and Communication Technologies (ICTs),National College of Ireland (NCI),Computing (Degree Award options),NC003,260,,303,260,,,,
942,2020,Business and administration,National College of Ireland (NCI),Human Resource Management,NC005,300,,331,300,,,,
943,2020,Business and administration,National College of Ireland (NCI),Business,NC009,300,,346,300,,,,
944,2020,Social and behavioural sciences,National College of Ireland (NCI),Psychology,NC010,400,,440,400,,,,
945,2020,Business and administration,National College of Ireland (NCI),Marketing Practice,NC020,280,,338,282,,,,
946,2020,Business and administration,National College of Ireland (NCI),Accounting and Finance,NC022,337,,378,337,,,,
947,2020,Information and Communication Technologies (ICTs),National College of Ireland (NCI),Technology Management (with specialisations),NC023,261,,282,261,,,,
952,2020,Education,St Nicholas Montessori College Ireland,Montessori Education,NM801,220,,290,220,,,,
955,2020,Social and behavioural sciences,"Carlow College, St. Patrick`s","Social, Political and Community Studies",PC405,253,216,311,216,,,,
956,2020,Humanities (except languages),"Carlow College, St. Patrick`s",Arts and Humanities (fulfils Teaching Council requirements),PC410,252,209,300,209,,,,
957,2020,Humanities (except languages),"Carlow College, St. Patrick`s",English and History (fulfils Teaching Council requirements),PC411,255,209,310,209,,,,
958,2020,Health,RCSI University of Medicine & Health Sciences,Medicine - Undergraduate Entry (HPAT required),RC001,733,,738,733,,,,#
959,2020,Health,RCSI University of Medicine & Health Sciences,Physiotherapy,RC004,566,,567,566,,,,
960,2020,Health,RCSI University of Medicine & Health Sciences,Pharmacy,RC005,579,,589,578,,,*,
961,2020,Health,RCSI University of Medicine & Health Sciences,Medicine - Graduate Entry (GAMSAT required),RC101,,,63,61,,,,#
970,2020,Business and administration,"Institute of Technology, Sligo",Business,SG141,261,,347,261,,,,
971,2020,Business and administration,"Institute of Technology, Sligo",Business in International Marketing and Languages (French),SG142,279,,386,279,,,,
972,2020,Business and administration,"Institute of Technology, Sligo",Business in International Marketing and Languages (Spanish),SG144,270,,347,270,,,,
973,2020,Business and administration,"Institute of Technology, Sligo",Accounting,SG146,309,,411,309,,,,
974,2020,Personal services,"Institute of Technology, Sligo",Sport with Business,SG147,307,,367,307,,,,
975,2020,Personal services,"Institute of Technology, Sligo",Tourism with Event Management,SG148,269,,340,269,,,,
980,2020,Arts,"Institute of Technology, Sligo",Performing Arts,SG241,328,,387,328,,,,
981,2020,Welfare,"Institute of Technology, Sligo",Early Childhood Care and Education,SG242,279,,319,279,,,,
982,2020,Welfare,"Institute of Technology, Sligo",Social Care Practice,SG243,301,,346,301,,,,
983,2020,Arts,"Institute of Technology, Sligo",Fine Art,SG244,505,,505,505,,,,#
984,2020,Arts,"Institute of Technology, Sligo",Creative Design,SG245,282,,339,282,,,,
985,2020,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo",Computing,SG246,290,,333,290,,,,
986,2020,Social and behavioural sciences,"Institute of Technology, Sligo",English and Psychology,SG247,309,,382,309,,,,
987,2020,Social and behavioural sciences,"Institute of Technology, Sligo",Sociology and Politics,SG248,281,,327,281,,,,
988,2020,Languages,"Institute of Technology, Sligo",Writing and Literature,SG249,297,,368,297,,,,
989,2020,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo",Application Design and User Experience,SG250,412,,412,412,,,,
990,2020,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo",Computing (Smart Technologies),SG251,327,,367,342,,,,
991,2020,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo",Software Development,SG252,307,,319,307,,,,
992,2020,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo",Computer Networks and Cloud Infrastructure,SG253,324,,378,378,,,,
993,2020,Languages,"Institute of Technology, Sligo",Writing and Literature Online,SG254,225,225,328,225,,,,
1005,2020,Architecture and construction,"Institute of Technology, Sligo",Civil Engineering,SG342,415,,480,415,,,,
1006,2020,Architecture and construction,"Institute of Technology, Sligo",Quantity Surveying,SG343,311,,367,311,,,,
1007,2020,Architecture and construction,"Institute of Technology, Sligo",Construction Project Management and Applied Technology,SG346,291,,337,291,,,,
1008,2020,Architecture and construction,"Institute of Technology, Sligo",Architecture,SG347,360,,411,360,,,,
1009,2020,Architecture and construction,"Institute of Technology, Sligo",Interior Architecture and Design,SG348,316,,368,331,,,,
1020,2020,Hygiene and occupational health services,"Institute of Technology, Sligo",Occupational Safety and Health,SG442,290,,367,290,,,,
1021,2020,Health,"Institute of Technology, Sligo",Human Nutrition,SG443,356,,397,356,,,,
1022,2020,Biological and related sciences,"Institute of Technology, Sligo",Science Undenominated,SG444,338,,420,338,,,,
1023,2020,Physical sciences,"Institute of Technology, Sligo",Pharmaceutical Science with Drug Development,SG445,311,,367,311,,,,
1024,2020,Health,"Institute of Technology, Sligo",Health Science and Physical Activity,SG447,328,,387,328,,,,
1025,2020,Biological and related sciences,"Institute of Technology, Sligo",Forensic Investigation and Analysis,SG448,306,,368,307,,,,
1026,2020,Health,"Institute of Technology, Sligo",Medical Biotechnology,SG449,341,,395,341,,,,
1027,2020,Environment,"Institute of Technology, Sligo",Environmental Science with Ecology (Level 8),SG450,300,,368,304,,,,
1054,2020,Arts,"Institute of Technology, Tralee","Animation, Visual Effects and Motion Design (Level 8)",TL801,281,,349,281,,,,
1055,2020,Arts,"Institute of Technology, Tralee","TV, Radio and New Media (Level 8)",TL802,325,,397,325,,,,
1056,2020,Information and Communication Technologies (ICTs),"Institute of Technology, Tralee",Computing with Software Development,TL810,310,,389,310,,,,
1057,2020,Information and Communication Technologies (ICTs),"Institute of Technology, Tralee",Computing with Games Development,TL811,358,,,358,,,,
1058,2020,Information and Communication Technologies (ICTs),"Institute of Technology, Tralee",Computing (Degree Award options),TL815,308,,360,308,,,,
1059,2020,Personal services,"Institute of Technology, Tralee",Event Management (3 year programme),TL823,299,,369,299,,,,
1060,2020,Business and administration,"Institute of Technology, Tralee",Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),TL831,306,,381,306,,,,
1061,2020,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary","Institute of Technology, Tralee",Agricultural Engineering,TL844,300,,373,300,,,,
1062,2020,Architecture and construction,"Institute of Technology, Tralee",Civil Engineering,TL845,325,,413,325,,,,
1063,2020,Manufacturing and processing,"Institute of Technology, Tralee",Manufacturing Engineering,TL847,302,,368,302,,,,
1064,2020,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary","Institute of Technology, Tralee",Agricultural Science,TL848,308,,380,308,,,,
1065,2020,Environment,"Institute of Technology, Tralee",Wildlife Biology (Degree Award options),TL851,309,,383,309,,,,
1066,2020,Health,"Institute of Technology, Tralee",Pharmaceutical Science (Degree Award options),TL855,317,,369,317,,,,
1067,2020,Veterinary,"Institute of Technology, Tralee",Veterinary Bioscience,TL858,308,,393,308,,,,
1068,2020,Personal services,"Institute of Technology, Tralee",Health and Leisure (Degree Award options),TL871,300,,379,300,,,,
1069,2020,Personal services,"Institute of Technology, Tralee",Health and Leisure with Massage,TL872,309,,408,309,,,,
1070,2020,Personal services,"Institute of Technology, Tralee",Coaching and Sports Performance,TL873,289,,329,289,,,,
1071,2020,Welfare,"Institute of Technology, Tralee",Early Childhood Care and Education,TL880,307,,349,307,,,,
1072,2020,Welfare,"Institute of Technology, Tralee",Social Care,TL881,308,,362,309,,,,
1073,2020,Welfare,"Institute of Technology, Tralee",Counselling with Addiction - Mature applicants only,TL889,,,,,,,,#
1074,2020,Health,"Institute of Technology, Tralee",General Nursing and Mature Applicants,TL890,440,414,441,414,*,,,
1075,2020,Health,"Institute of Technology, Tralee",Mental Health Nursing and Mature Applicants,TL891,389,378,399,378,,,,
1076,2020,Arts,Trinity College Dublin,Music,TR002,435,429,468,382,,,,
1077,2020,Humanities (except languages),Trinity College Dublin,History,TR003,497,493,511,456,,,,
1078,2020,Law,Trinity College Dublin,Law,TR004,566,565,578,565,,*,*,
1079,2020,Humanities (except languages),Trinity College Dublin,Philosophy,TR005,442,,476,442,,,,
1080,2020,Social and behavioural sciences,Trinity College Dublin,Psychology,TR006,567,555,578,555,,*,*,
1081,2020,Health,Trinity College Dublin,Clinical Speech and Language Studies,TR007,529,,553,529,,,,
1082,2020,Education,Trinity College Dublin,Music Education,TR009,420,,532,420,,,,#
1083,2020,Humanities (except languages),Trinity College Dublin,History and Political Science,TR012,555,554,578,552,,,*,
1084,2020,Social and behavioural sciences,Trinity College Dublin,"Philosophy, Political Science, Economics and Sociology",TR015,589,,601,589,,,,
1085,2020,Languages,Trinity College Dublin,Deaf Studies,TR016,340,,377,329,,,,
1086,2020,Law,Trinity College Dublin,Law and Business,TR017,602,,613,602,,,,
1087,2020,Law,Trinity College Dublin,Law and French,TR018,565,,589,565,,,,
1088,2020,Law,Trinity College Dublin,Law and German,TR019,543,542,566,542,,,,
1089,2020,Law,Trinity College Dublin,Law and Political Science,TR020,602,,613,601,,,*,
1090,2020,Humanities (except languages),Trinity College Dublin,"Classics, Ancient History and Archaeology",TR021,370,,434,370,,,,
1091,2020,Languages,Trinity College Dublin,Early and Modern Irish,TR022,398,,451,398,,,,
1092,2020,Languages,Trinity College Dublin,English Studies,TR023,487,476,511,474,,,,
